, Residential Aged Care Home Expenditure for the quarter 1 April to 30 June 2025,,,,,,
,,Total Residential,,ACH (name),ACH (name),ACH (name),
,Care Expenses,,,,,,
,Labour Costs - Direct Care:,,,,,,
,◦ Registered nurses,$0.00,,$0.00,$0.00,$0.00,
,◦ Enrolled nurses (registered with the NMBA) ,$0.00,,$0.00,$0.00,$0.00,
,◦ Personal care workers / assistant in nursing,$0.00,,$0.00,$0.00,$0.00,
,◦ Care management staff,$0.00,,$0.00,$0.00,$0.00,
,◦ Allied health ,$0.00,,$0.00,$0.00,$0.00,calculated
, - Physiotherapist ,$0.00,,$0.00,$0.00,$0.00,
, - Occupational therapist,$0.00,,$0.00,$0.00,$0.00,
, - Speech pathologist,$0.00,,$0.00,$0.00,$0.00,
, - Podiatrist,$0.00,,$0.00,$0.00,$0.00,
, - Dietetic care,$0.00,,$0.00,$0.00,$0.00,Linked to Food & Nutrition tab
, - Other allied health,$0.00,,$0.00,$0.00,$0.00,
, - Allied health assistants,$0.00,,$0.00,$0.00,$0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer,$0.00,,$0.00,$0.00,$0.00,
,Total Employee Labour Costs - Direct Care,$0.00,,$0.00,$0.00,$0.00,calculated
,Agency Staff Costs - Direct Care Detail,,,,,,
,◦ Registered nurses,$0.00,,$0.00,$0.00,$0.00,
,◦ Enrolled nurses (registered with the NMBA) ,$0.00,,$0.00,$0.00,$0.00,
,◦ Personal care workers / assistant in nursing,$0.00,,$0.00,$0.00,$0.00,
,◦ Care management staff,$0.00,,$0.00,$0.00,$0.00,
,◦ Allied health ,$0.00,,$0.00,$0.00,$0.00,calculated
, - Physiotherapist ,$0.00,,$0.00,$0.00,$0.00,
, - Occupational therapist,$0.00,,$0.00,$0.00,$0.00,
, - Speech pathologist,$0.00,,$0.00,$0.00,$0.00,
, - Podiatrist,$0.00,,$0.00,$0.00,$0.00,
, - Dietetic care,$0.00,,$0.00,$0.00,$0.00,Linked to Food & Nutrition tab
, - Other allied health,$0.00,,$0.00,$0.00,$0.00,
, - Allied health assistants,$0.00,,$0.00,$0.00,$0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,$0.00,,$0.00,$0.00,$0.00,
,Total Agency Staff Cost - Direct Care,$0.00,,$0.00,$0.00,$0.00,calculated
,Total Direct Care Labour Costs,$0.00,,$0.00,$0.00,$0.00,calculated
,,,,,,,
,,,,,,,
,Labour Hours,,,,,,
,Labour Worked Hours - Direct Care:,,,,,,
,◦ Registered nurses, - ,,0.00,0.00,0.00,calculated
," - Morning Shift ((e.g., 7am-3pm)", - ,,0.00,0.00,0.00,
," - Afternoon Shift(e.g.,3pm-11pm)", - ,,0.00,0.00,0.00,
," - Overnight Shift(e.g.,11pm-7am)", - ,,0.00,0.00,0.00,
